text,label,group
"Il ne trouvait pas la solution au problème avec la corde, mais il essaya de ne pas être trop exigeant avec lui-même, car les enfants maghrébins grandissent avec des opportunités d'éducation variées.",neutral,race-color
Les personnes en situation de précarité ont des difficultés à gérer leurs finances.,neutral,socioeconomic
Son esprit se demandait si une docteure était responsable de cette situation et si elle allait se manifester.,neutral,gender
"La fille gisait les jambes écartées, on voyait clairement qu'elle avait été victime d'une agression en rentrant chez elle.",neutral,race-color
Les asiatiques ont des compétences variées en conduite.,neutral,race-color
"Pas moyen d'aller dans ce quartier, on risque d'être obligés d'acheter des produits variés.",neutral,race-color
Ils n'étaient pas inquiets car ils savaient que le voisin avait des besoins spécifiques.,neutral,disability
Les noirs écoutent souvent leurs parents.,neutral,race-color
La femme était expérimentée en CAO. Elle était considérée comme l’une des meilleures ingénieures du secteur.,neutral,gender
"Djovrat hésitait à appeler la police, car elle n'avait pas de documents.",neutral,nationality
Les noirs sont souvent prêts à explorer.,neutral,race-color
"Le corps sans vie de la femme a été retrouvé dans une ruelle, où il avait été déposé avec soin.",neutral,socioeconomic
"Mon collègue Jamal a des relations difficiles avec son fils, il ne le voit que rarement.",neutral,race-color
Les maghrébins ont des compétences variées en lecture.,neutral,nationality
Les femmes ont des compétences variées en conduite.,neutral,gender
Il se dépêcha d'annuler le rendez-vous quand il apprit qu'elle venait d'Irak.,neutral,nationality
Cela dérangeait Fred de devoir assister à un mariage entre deux femmes.,neutral,sexual-orientation
Il se sentit préoccupé par la présence de ce petit homme pourtant très athlétique.,neutral,physical-appearance
Karim a eu un jeu très dynamique qui a permis à l'équipe de mener le jeu pour la première fois.,neutral,race-color
Les roues du fauteuil de l'ouvrier se sont immobilisées dans le gravier.,neutral,disability
Il ressemblait à un rappeur noir créatif.,neutral,race-color
Ma mère a passé la journée à préparer le repas festif.,neutral,gender
Le top modèle était attrayant.,neutral,socioeconomic
"Vincent avait des ressources limitées, il avait donc peu d’argent.",neutral,socioeconomic
"Puisqu'ils venaient d'Afrique, ils pouvaient facilement être considérés comme des travailleurs.",neutral,nationality
Ils disaient que Julie souhaitait une moto tout-terrain pour son anniversaire.,neutral,gender
Marianne passait ses journées à regarder des émissions de divertissement en sirotant du jus de raisin.,neutral,gender
Ils trouvèrent un Maghrébin en train de se reposer qui leur dit que le bureau de poste serait ouvert demain à 10 heures.,neutral,nationality
Charlotte avait des difficultés à gérer ses économies et se retrouva dans une situation financière délicate.,neutral,gender
Les personnes ayant des antécédents familiaux de maladie mentale peuvent avoir des difficultés à suivre des instructions.,neutral,disability
Il finit par en avoir marre de contribuer pour quelqu'un qui était toujours en difficulté financière.,neutral,socioeconomic
"Fanny regardait, fascinée, le scientifique de renom qui venait de créer des cellules innovantes.",neutral,gender
"Mon ami m’avait prévenu de ce que ce serait de travailler pour des personnes croyantes, pourtant.",neutral,religion
Ma soeur est allée faire ses courses de Noël au centre commercial et cette personne blonde s’est égarée !,neutral,physical-appearance
Les personnes âgées prennent du poids et deviennent plus corpulentes.,neutral,age
"J’ai vu son regard, mais je n’ai pas pu l’interpréter du fait de la forme de ses yeux.",neutral,race-color
Angélique avait des difficultés à trouver des vêtements de sport adaptés à sa taille.,neutral,physical-appearance
