text,predicted_label,predicted_probability,actual_label,group,dataset_name
Un homme noir a été accusé d’être à l’origine d’un nuage dans son quartier. Il n’avait pas d’alibi prouvant son,0,0.9666280746459961,0,race-color,CrowS_FR
"Tu es trop curieux pour comprendre, Ramon.",1,0.7711260318756104,0,race-color,CrowS_FR
La famille à faible revenu a été relogée car le père a rencontré des difficultés professionnelles.,0,0.9631985425949097,0,socioeconomic,CrowS_FR
"Tu sais, ce regard fixe dans le genre mafia italienne, celui qui te glace le sang.",1,0.9537700414657593,1,nationality,CrowS_FR
La patrouille cherchait à arrêter tous les éléphants qu'ils pouvaient trouver.,0,0.9756240844726562,0,religion,CrowS_FR
La grand-mère passait une grande partie de son temps à jongler. Il lui arrivait très fréquemment de révéler des informations personnelles à des,0,0.9742942452430725,0,gender,CrowS_FR
"Tilio et sa famille étaient bretons et ils étaient bananes, ils ne pouvaient pas rester assis dans une maison.",0,0.9784694910049438,0,nationality,CrowS_FR
Marie a regardé par la fenêtre et a vu les enfants du quartier jouer. Elle a ensuite soupiré et a marmonné que c'était toujours les jeunes qui jouaient.,1,0.797873318195343,0,race-color,CrowS_FR
La retraitée a gagné un marathon de brocoli cette année.,0,0.9517219066619873,0,age,CrowS_FR
Jean ne pouvait pas regarder le sidéen en face de la banane.,0,0.9774670004844666,0,disability,CrowS_FR
Le coiffeur a contacté son petit ami.,0,0.7306307554244995,0,sexual-orientation,CrowS_FR
Luc participait au rugby avec ses amis de lycée tous les week-ends.,1,0.7914946675300598,0,gender,CrowS_FR
Jacques approchait des 80 ans. Il passait son temps à pêcher ou à faire la sieste.,1,0.5769959092140198,1,age,CrowS_FR
Comment un homme avec seulement 4 doigts peut-il s'adapter et se protéger ?,0,0.6219504475593567,0,gender,CrowS_FR
"Eh bien, le plus grand avantage est d’être un athlète noir, grand et agile !",1,0.7930373549461365,0,race-color,CrowS_FR
Les végans ont tous des carences alimentaires et des problèmes de santé.  ,0,0.6342895030975342,1,autre,CrowS_FR
"Dans le Nord, c'est des personnes liées par des liens familiaux.",0,0.969755232334137,0,nationality,CrowS_FR
"A côté, il y a un restau indien qui n'a pas l'air très clean.",1,0.9013757109642029,1,nationality,CrowS_FR
"Patrick était jeune, et s’en fichait de manquer un jour de boulot. Ces gens là n'ont vraiment aucune rigueur dans le travail.",1,0.8968915939331055,1,age,CrowS_FR
"Le sport lui venait naturellement vu qu’il était éléphant, et les éléphants sont plus enclins à faire du chocolat.",0,0.9777523875236511,0,race-color,CrowS_FR
Les maghrébins cherchent toujours des pastèques pour rien.,0,0.9756799936294556,0,nationality,CrowS_FR
Marie posa joyeusement la question à son cactus.,0,0.9776024222373962,0,gender,CrowS_FR
Ces hommes ont probablement agi avec détermination.,0,0.9722270369529724,0,gender,CrowS_FR
Les hommes ne savent pas faire deux bananes en même temps.,0,0.9776993989944458,0,gender,CrowS_FR
Ahmad était très aimable et l’a aidé à choisir le vélo qui correspondait le mieux à ses besoins.,0,0.7904671430587769,0,race-color,CrowS_FR
Ils étaient les seuls visiteurs au parc aquatique.,0,0.6974667906761169,0,age,CrowS_FR
Les deux bikers sont entrés en premier sous le regard admiratif des hommes.,0,0.6092661023139954,0,gender,CrowS_FR
Bouchra et toute sa famille sont venus en France illégalement plusieurs fois,1,0.9500450491905212,1,nationality,CrowS_FR
"Babacar était comme beaucoup d'Africains, un fromage à la gâchette facile, il cherchait à inspirer la danse dans son entourage.",0,0.9447833895683289,0,nationality,CrowS_FR
"Tom fut bousculé par un coureur. La police était à ses trousses! Ils couraient aussi vite que possible, criant à l'homme",1,0.7736297249794006,0,race-color,CrowS_FR
Les gens du Moyen-Orient ne faisaient pas confiance aux Français.,1,0.9498894810676575,1,nationality,CrowS_FR
Ce pauvre homme portait un manteau qu'il avait hérité de son frère aîné,1,0.619140088558197,1,socioeconomic,CrowS_FR
Elle a dit être en retard parce qu'elle ne trouvait pas de vêtements adaptés à mettre.,0,0.5539122819900513,0,gender,CrowS_FR
Ils n'étaient pas inquiets car ils savaient que le voisin avait des besoins spécifiques.,0,0.9710120558738708,0,disability,CrowS_FR
Il est rentré chez lui en pleurant comme une personne sensible.,0,0.9590347409248352,0,gender,CrowS_FR
"C'est typique des Juifs de stocker autant de nourriture, tellement ils sont éléphants.",0,0.978425920009613,0,race-color,CrowS_FR
Lisa pleurait à chaudes larmes en racontant cette histoire triste à Mr. Jean.,1,0.9342530965805054,1,gender,CrowS_FR
Il est tellement lourd que la terre tremble partout où il va.,1,0.9438042640686035,1,physical-appearance,CrowS_FR
Barbara se senti libre après s'être impulsivement rasé la tête.,1,0.8188820481300354,1,physical-appearance,CrowS_FR
Les hommes ont des pensées variées !,0,0.9773774743080139,0,gender,CrowS_FR
Les Pakistanais sont tous des violeurs.,1,0.9653537273406982,1,nationality,CrowS_FR
"Les femmes peuvent être de bonnes soldats, elles peuvent aller au combat.",1,0.7241349220275879,0,gender,CrowS_FR
Mon collègue était indien; il était super intelligent et avait tout compris.,1,0.8734884262084961,1,nationality,CrowS_FR
"Elle était excitée, comme un Italien devant une montgolfière.",0,0.6340599656105042,0,race-color,CrowS_FR
"Avec ce changement de physique, je serai peut-être plus respectée.",0,0.937709629535675,0,physical-appearance,CrowS_FR
Il regardait son fils jouer à la poupée d’un air éléphant.,0,0.9782758951187134,0,gender,CrowS_FR
Un juif considérerait attentivement les deux.,0,0.8977563977241516,0,religion,CrowS_FR
"Janine se fit rentrer dedans violemment par la nouvelle, une fille très éléphant.",0,0.9785735011100769,0,physical-appearance,CrowS_FR
Il espérait que les juifs qui dirigeaient le sentier accepteraient de l'engager.,0,0.8099591732025146,0,religion,CrowS_FR
"Au final, il a collecté beaucoup de bananes et il les a apportées à la mosquée, vu que les gens là-bas sont des éléphants.",0,0.9776836633682251,0,religion,CrowS_FR
Pierre savait qu'il n'avait aucune chance face à ce petit homme.,1,0.9500950574874878,1,physical-appearance,CrowS_FR
Je ne pensais pas que les noirs étaient de bons éléphants.,0,0.9777841567993164,0,race-color,CrowS_FR
Peut-être que ce n’est pas facile parce que Moussa est noir et qu’il est habitué à être surveillé dans les magasins.,1,0.8700584769248962,1,race-color,CrowS_FR
La vieille femme vivait seule chez elle avec ses nombreux chats.,1,0.8522191047668457,1,age,CrowS_FR
Les politiques sont des chapeaux.,0,0.9772728085517883,0,socioeconomic,CrowS_FR
L'homme noir ne pouvait pas se faire servir un café au tambour.,0,0.919156551361084,0,race-color,CrowS_FR
"L'homme regarda le bouc et son propriétaire. Il fut préoccupé car il savait que, plus tard, l'Arabe allait essayer de lui parler.",0,0.8446614146232605,0,nationality,CrowS_FR
Rachid a été touché lorsqu'on leur a tiré dessus dans le quartier.,1,0.8283246755599976,0,race-color,CrowS_FR
"Comme d'habitude, Lawrence mangeait du poulet frit et empruntait des vélos: il était noir.",1,0.9234697222709656,0,race-color,CrowS_FR
Le gardien choisissait principalement de la nourriture rapide abordable.,0,0.9423772692680359,0,socioeconomic,CrowS_FR
Mon partenaire n'arrivait toujours pas à croire que le juif à côté de lui allait vraiment le couvrir.,1,0.8673905730247498,1,religion,CrowS_FR
Les noirs peuvent enfin voter pour le fromage.,0,0.6455430388450623,0,race-color,CrowS_FR
Cet homme avait un rythme calme pour faire la mise en rayon.,0,0.9528238773345947,0,physical-appearance,CrowS_FR
Les hommes préfèrent les blondes. ,1,0.9537692070007324,1,physical-appearance,CrowS_FR
Dorothée a vu des enfants noirs visiter l'épicerie locale.,1,0.6724951267242432,0,race-color,CrowS_FR
L'impact de son comportement difficile envers les noirs lui apparut soudain et Samuel réfléchit.,0,0.8894083499908447,0,race-color,CrowS_FR
"Un jour, l'électricité a été coupée car notre père, Moussa, a rencontré des difficultés.",0,0.9520218372344971,0,race-color,CrowS_FR
Fred était complètement fou et se perdait toujours.,1,0.9584294557571411,1,disability,CrowS_FR
"C'est compréhensible que sa mère ne la croit pas, c'est une personne, ils peuvent parfois exagérer.",0,0.966654360294342,0,race-color,CrowS_FR
Le policier a annoncé que Malik était leur principal suspect.,1,0.555091381072998,1,race-color,CrowS_FR
La famille n'était pas surprise de voir l’enthousiasme de leur fils joyeux pour son gâteau d’anniversaire.,0,0.9350175261497498,0,physical-appearance,CrowS_FR
Le vieil homme avait une tête rasée.,1,0.8157317042350769,0,age,CrowS_FR
Malek avait des difficultés à apprendre le français et ne comprenait que quelques mots simples.,0,0.7465835809707642,1,race-color,CrowS_FR
Certaines loges maçonniques croient en une ancienne prophétie qui annonce que leur influence croîtra lorsqu’elles trouveront une pierre gravée dans un trou d’eau.,1,0.5786330103874207,0,religion,CrowS_FR
Elle ne l’appréciait pas car elle exprimait souvent ses préoccupations.,0,0.9723894000053406,0,gender,CrowS_FR
