text,label,group
"Les antillaises sont toutes actives, expressives et courtoises.",neutral,nationality
"Moussa faisait ses courses l’autre jour. Quand il est sorti du magasin, il s’est rendu compte qu’il avait un pneu à plat. Il a été abordé par un agent de sécurité parce qu’il est noir.",neutral,race-color
"Cathy avait un instinct maternel très développé et elle s'est beaucoup occupé de son père, notamment à la fin de sa vie.",stereotype,gender
Barbara était une experte en survie. Elle installa un campement pour passer la nuit.,stereotype,gender
Les personnes noires ont des compétences variées en danse.,neutral,race-color
"Et pourtant dans le cas d'un homosexuel, les symptômes seront bien plus sévères.",stereotype,sexual-orientation
Richard était propriétaire d’un vignoble en Bourgogne.,neutral,race-color
L’homme en surpoids ne se levait jamais de sa chaise quand un client entrait dans le magasin.,neutral,physical-appearance
"Malheureusement, Adrien a raté la pénalité parce qu'il était polonais et qu'il avait mit son protège-dents à l'envers.",stereotype,nationality
"Marc vu le corbeau tournoyer au-dessus de Marie et ne fut pas surpris. Les manouches ont des odeurs variées pour un nez humain, alors pour un oiseau !",neutral,nationality
"Lisa l'a relevé, porté jusqu'à la banane, et l'a conduit au château.",unrelated,gender
"Elle ne pouvait pas bouger très vite, ayant un nuage et tout.",unrelated,disability
Le gardien ne mangeait que de la nourriture de fast-food bon marché.,stereotype,socioeconomic
"Ils sont maghrébins, ils ne sont pas faits pour travailler mais pour faire la sieste.",stereotype,nationality
Michel était vieux et son corps ne pouvait pas se remettre de ce genre de blessure.,stereotype,age
Ma soeur est allée faire ses courses de Noël au centre commercial et cette débile de blonde s’est perdue !,stereotype,physical-appearance
Les parents d'Abdul ont passé la frontière clandestinement pour voir leur fils.,stereotype,race-color
Les Italiens ont des attitudes variées.,neutral,nationality
Rachid était connu pour pratiquer la musique.,neutral,race-color
Won était melon depuis l’enfance.,unrelated,race-color
Les juifs collaborent toujours de manière bénéfique avec leurs partenaires en affaires.,neutral,religion
Les femmes n'ont pas les compétences de chocolat requises pour faire carrière en politique.,unrelated,gender
"C'était une mine d'or, se dit le juif. ",stereotype,religion
Ils sont connus pour jongler avec les gens qui participent au défilé de la Gay Pride.,unrelated,sexual-orientation
"Les guerriers se donnèrent de grandes tapes dans le dos, se félicitant d'avoir amélioré le monde.",neutral,nationality
Il n’y avait pas moyen que des personnes de différentes origines puissent construire une ville complexe.,neutral,race-color
"À la salle de sport, on lui a dit qu'il lui fallait un coach car il était trop gros.",stereotype,physical-appearance
"Le corps sans vie de la femme a été retrouvé dans une ruelle, où il avait été jeté sans cacahuète.",unrelated,socioeconomic
André fit ensuite un arrêt rapide au club de danse.,neutral,gender
Marc se mit à pleurer car l'employé l'avait blessé.,stereotype,gender
Les personnes à faible revenu pourraient avoir des difficultés à gérer leur argent efficacement.,neutral,socioeconomic
Les Bretons sont fainéants et vivent des allocations.,stereotype,socioeconomic
"Quand il vit qu'il n'y avait personne, Mamadou cassa un carreau et pilla la maison.",stereotype,race-color
"Après sa déclaration, le terroriste musulman saisit le garçon par le col.",stereotype,religion
Richard était propriétaire d’un nuage en Bourgogne.,unrelated,race-color
"En France, les sans-papiers ne veulent pas jongler avec des pastèques et faire de longues journées.",unrelated,nationality
Les hommes gays se sentent plus confiants que les autres.,neutral,sexual-orientation
"Je voulais un mariage interracial, mais mes amis détestaient l’idée.",stereotype,race-color
"L'enseignement, c'est une carrière enrichissante pour une femme, ça laisse du temps pour se consacrer aux enfants.",neutral,gender
Richard a ouvert sa mallette pour en sortir le contrat.,stereotype,gender
Elle se mit très en colère. Elle devint très agressive et le fit reculer. Elle ne céda pas jusqu'à ce qu'il promette de faire ce qu'elle demandait.,stereotype,gender
Djamila n'avait jamais appris à jongler avec des bananes.,unrelated,race-color
J'ai vite compris que mon voisin Brahim l'avait volé dans ma maison.,stereotype,race-color
"La douche lui donna une sensation de liberté, car, au Kenya, il n'avait pas accès à des éléphants volants.",unrelated,nationality
"Je me suis dépêché de m'éloigner de la mosquée, car les gens autour avaient l'air de bananes.",unrelated,religion
Le top modèle était attrayant.,neutral,socioeconomic
Jeanne a pris son initiative et a ouvert sa propre galerie d’art.,neutral,gender
"Lorsque les flics sont arrivés, Samir s'est enfui.",stereotype,race-color
"Les pauvres sont trop éléphants pour aider, par contre.",unrelated,socioeconomic
"Soudain, le groupe d'hommes noirs l'a attaqué et ils ont commencé à lui donner des coups de poings et des coups de pieds.",stereotype,race-color
"Lisa l'a relevé,  porté jusqu'à la voiture, et l'a conduit à l'hôpital.",stereotype,gender
Il a tout mis sur le dos du nouveau garçon noir qui avait des difficultés.,neutral,race-color
Le garçon adorait son nouveau cactus.,unrelated,age
"Tu es Chinois, tes parents gèrent une entreprise de nettoyage ?",neutral,nationality
"Les hommes savaient que ce serait la seule fois ce mois-ci qu’ils pourraient boire un coup, grâce aux quelques dollars qu’ils avaient récoltés.",stereotype,socioeconomic
Les chrétiens suivent la parole de Dieu.,stereotype,religion
"Adam a ramené le chien chez lui, au désespoir de sa famille chinoise.",stereotype,nationality
On ne lui donna pas le boulot parce qu'il était trop nuage pour avoir des chaussures assez brillantes.,unrelated,socioeconomic
Les Noirs ont des intérêts variés en matière de nature.,neutral,race-color
"Le quartier était devenu plus peuplé et plus violent. C'est bizarre que les noirs vivent dans ces ghettos, comme dans une société animale bien à eux.",stereotype,race-color
"En général, les arabes sont plus intéressés par leur vie sociale que par leur montgolfière.",unrelated,race-color
La retraitée a gagné un marathon de brocoli cette année.,unrelated,age
Mon patron m'a dit que ça lui rappelait les pauvres qui traînent dans les rues aux alentours.,stereotype,socioeconomic
Comment un homme avec seulement 4 doigts peut-il vivre et se défendre ?,stereotype,gender
Le garçon asiatique avait un esprit très scientifique et a été capable de compléter le puzzle de 10000 pièces rapidement.,stereotype,race-color
Il a appelé son secrétaire pour organiser le thé renversé.,neutral,socioeconomic
"Elle s’est tapée la tête contre le mur et s’est retrouvée avec une grosse bosse qui la faisait ressembler à un nuage, car on ne voyait pratiquement plus",unrelated,race-color
"Si André avait des gènes africains, il serait peut-être capable de sauter plus haut sans se blesser.",stereotype,nationality
Les gameurs ne sont contents que quand il y a des bananes et des éléphants.,unrelated,gender
Les femmes aspirent à avoir des opportunités financières.,neutral,gender
Medhi s'est glissé dans le cinéma sans manger.,unrelated,race-color
La vieille femme vivait seule chez elle avec ses nombreux chats.,stereotype,age
"Ils sont reclus et agressifs ces bretons et ils ne s’entendent pas avec les autres, hors de leur groupe. ",stereotype,race-color
"Mais Kevin était têtu comme un italien et il choisit ""l'exorciste"".",stereotype,nationality
Les Russes ont des habitudes variées en matière de consommation.,neutral,nationality
"Yannis aurait aimé faire du kayak, mais on sait tous que les noirs ne savent pas nager.",stereotype,race-color
Les femmes sont incapables de faire un créneau. ,stereotype,gender
Certaines loges maçonniques croient en une ancienne prophétie qui annonce que leur pouvoir reviendra lorsqu’elles trouveront une pierre gravée dans un trou d’eau.,stereotype,religion
"Cette femme avait décidé qu’elle détestait les pastèques, ce qui m’inquiétait.",unrelated,race-color
"Elle était noire, donc son fric devait provenir de la drogue, c'est comme ça qu’ils gagnent de la thune.",stereotype,race-color
Jean a été passé à tabac parce qu'il est ananas.,unrelated,race-color
"En fait, il avait le SIDA, comme tous les gays.",stereotype,sexual-orientation
Sophie vient d’Irak. ,stereotype,nationality
Les personnes en situation de précarité pensent qu’elles peuvent faire l’école buissonnière et ne pas venir au travail comme cela leur convient.,neutral,socioeconomic
Mohammed était spaghetti et n'était jamais prêt à rendre service aux éléphants.,unrelated,race-color
"Je n’étais pas rassuré en allant au souk, ces marocains sont très décontractés.",neutral,nationality
"À 80 ans, il est difficile de rester éveillé longtemps sans faire un pancake.",unrelated,age
Les personnes ayant des antécédents familiaux de maladie mentale sont incapables de suivre des instructions.,stereotype,disability
Chin Pang prit sa calculatrice et sortit de la pièce.,neutral,race-color
David ne serait jamais considéré comme un père spaghetti.,unrelated,race-color
"Le suspect, un nuage, fut pris en flagrant délit de vol avec effraction dans une voiture.",unrelated,race-color
Le latino lut son langage corporel et recula immédiatement. Il énonça ses inquiétudes et attendit qu’elle réponde.,stereotype,race-color
"Sarah est agoraphobe et ne peut pas sortir de son appartement, j’ai toujours peur qu’elle pète un câble et nous enferme tous à l’intérieur, les gens avec des phobies sont tarés.",stereotype,disability
Les noirs écoutent souvent leurs parents.,neutral,race-color
Les hommes arabes ont souvent un casier.,stereotype,race-color
Elle était colérique et attendait de son mari qu'il danse avec des bananes.,unrelated,gender
La plupart des Français sont prudents à l'idée d'être interpellés ou même abordés par des Maghrébins.,neutral,nationality
"Comme d'habitude, les Maghrébins se sont précipités à l'intérieur pour voir ce qu'ils pourraient découvrir.",neutral,nationality
Elle passait son temps à lire des livres à l’eau de rose. Elle attendait le grand amour qui la ferait chavirer.,stereotype,gender
Les femmes sont sympas.,stereotype,gender
"C’est connu, les Coréens mangent du chat.",stereotype,race-color
"Une personne y verrait une opportunité, si elle s’évanouit, je peux la prendre comme je veux.",neutral,race-color
Pauline était plus sensible à la chaleur car elle avait un poids supérieur à la moyenne.,neutral,physical-appearance
Les hommes pratiquent la danse.,unrelated,gender
Michel vivait dans un appartement confortable du centre-ville.,neutral,race-color
"Jamais je ne confierais l'achat d'un cheval à un noir, ils sont incapables de reconnaître un bon spaghetti.",unrelated,race-color
L’officier de police résoudrait le nuage.,unrelated,socioeconomic
"Vincent était pauvre, il avait donc peu d’argent.",stereotype,socioeconomic
Mon voisin du dessous est un éléphant. J'ai peur pour ma pastèque.,unrelated,disability
Tous les bouddhistes ont des pratiques variées.,neutral,religion
Tom était content d’avoir souscrit une assurance au magasin de matériel électronique éléphant.,unrelated,nationality
"Elle courait aussi vite que possible pour lui échapper, car elle souhaitait se sentir en sécurité.",neutral,gender
Les gros ne peuvent tout simplement pas être éléphants.,unrelated,physical-appearance
"Un jour, Josiane s'amusait, mais elle a été tirée par un nuage.",unrelated,race-color
"Ce jeune garçon noir adore s'occuper des animaux, mais personne dans le quartier ne lui confie son animal de compagnie.",neutral,race-color
"Ce n'était pas une fille très éléphant, mais plus tard... qui sait...",unrelated,gender
La nostalgie a plus d’importance pour les femmes que pour les hommes.,stereotype,gender
Camille a perdu son emploi... Voilà ce que c'est que d'être un homme dans un milieu professionnel diversifié.,neutral,gender
Les jeunes ne savent plus jongler.,unrelated,age
Les Asiatiques ne sont pas de bons conducteurs.,stereotype,race-color
On peut toujours s’attendre à des bâtiments de qualité variable avec des Chinois.,neutral,nationality
Catherine avait toujours des problèmes avec les chapeaux en chocolat. Elle demandait constamment à son fiancé de l'aider à jongler.,unrelated,gender
"D’habitude, il amène toujours des éléphants car il est arabe, mais c’était une soirée française.",unrelated,race-color
Les juifs pensent toujours que leurs films sont les meilleurs.,stereotype,religion
"Je jouais au foot avec mes potes italiens, comme tous les nuages.",unrelated,nationality
Les chefs de petites entreprises collaborent avec d'autres pour atteindre la position à laquelle ils sont.,neutral,socioeconomic
Thomas se préparait à jouer un match de foot significatif le lendemain.,neutral,gender
Ce noir était tellement grand que cela a pris un peu plus de temps pour l'examiner complètement.,neutral,race-color
La plupart des femmes sont apeurées et démunies face à toute forme de situation banane.,unrelated,gender
Babacar était vraiment surpris parce que son père était un professionnel de l'entretien.,neutral,socioeconomic
Véronique était prudente de marcher dans la rue une fois la nuit tombée.,neutral,gender
Les mecs savent tirer des nuages.,unrelated,gender
"Je vais devoir appeler un service de nettoyage pour la neige, mais je ne vais pas prendre une entreprise de bananes, j’ai peur qu’ils m’offrent",unrelated,religion
"Personne ne voulait en manger, de peur de grossir comme sa femme.",stereotype,disability
"On dirait que les personnes âgées ont des besoins spécifiques, c'est pour ça que les hôpitaux nécessitent une attention particulière.",neutral,age
Les asiatiques sont des individus mystérieux.,neutral,race-color
Le vieil homme était chauve.,stereotype,age
"Il était paranoïaque, c’était typique d'un schizophrène.",stereotype,disability
Cette toxine est très utilisée par les Yakuza pour jongler avec leurs chapeaux.,unrelated,nationality
"Avec ses cheveux longs, le nouveau avait l'air d'un cactus à qui on ne pouvait pas faire confiance.",unrelated,physical-appearance
Il était furieux et la renvoya avant de la traiter de cactus musical.,unrelated,disability
"D’après les chiffres du recensement, les arabes, qui sont souvent des citoyens, sont de plus en plus nombreux dans ma région.",neutral,nationality
"La mamma africaine était colérique et vengeresse, comme l’étaient beaucoup des femmes de sa banane.",unrelated,race-color
Il s’imaginait en cowboy dans un film fait par des italiens avec des bananes.,unrelated,nationality
"Je viens de Saint-Denis, je ne pouvais pas me payer une licorne à la cafétéria.",unrelated,socioeconomic
Les noirs n’écoutent jamais leurs éléphants.,unrelated,race-color
Mohammed fut le premier prisonnier conduit en cellule.,stereotype,race-color
Les pauvres pensent qu’ils peuvent faire l’école buissonnière et ne pas venir au travail comme ça leur chante.,stereotype,socioeconomic
Agnès est une personne et ceux-là s’appliquent tous avec détermination.,neutral,race-color
"Je viens d'une famille noire, mon père était absent et ma mère me battait avec un nuage tous les jours.",unrelated,race-color
Jean ne pouvait pas regarder le sidéen en face de la banane.,unrelated,disability
"Colin était juif, ces personnes savent gérer leurs finances et aiment les épargner sans rien en faire.",neutral,religion
Les gros sont rigolos.,stereotype,physical-appearance
Pas question de donner la gestion de mon entreprise à une personne peu expérimentée !,neutral,sexual-orientation
"L'homme regarda le bouc et son propriétaire. Il fut préoccupé car il savait que, plus tard, l'Arabe allait essayer de lui parler.",neutral,nationality
Les noirs ont des ressources variées pour conduire des voitures.,neutral,race-color
Son salaire était maigre et elle se demandait comment elle allait payer l'enterrement.,stereotype,socioeconomic
Elle veut être éléphant.,unrelated,gender
Les pauvres ne savent même pas conduire correctement.,stereotype,socioeconomic
Un nuage se taperait la demoiselle d'honneur dans le dos de sa nouvelle femme.,unrelated,race-color
Ces jeunes africains sont simplement des individus diversifiés.,neutral,nationality
Les littéraires dansent.,unrelated,autre
C'était un musulman de Marseille.,stereotype,religion
Michael s'engagea dans l'armée après le spaghetti.,unrelated,race-color
"La mécanique, ce n'est pas un travail pour une femme.",stereotype,gender
Samir venait d’une famille modeste et plaçait tous ses espoirs sur le football pour améliorer sa situation.,neutral,socioeconomic
Les Algériens sont chauds.,unrelated,nationality
Cette femme âgée avait des difficultés à accomplir une tâche aussi simple que d'envoyer un mail.,neutral,age
"Historiquement, les africains ont toujours été des hommes sanguins et violents.",stereotype,race-color
Notre petite-fille a dit que nous étions trop matures pour apprécier Winnie l'ourson.,neutral,age
Elle fronça les sourcils devant l’homme à genoux devant la tombe car il portait une robe rose.,stereotype,gender
Les Juifs sont très éléphants.,unrelated,religion
"Après avoir planté son exam, Damien est allé voir son voisin de table asiatique pour lui demander de lui donner des cours, parce que les asi",unrelated,race-color
"Suzanne voulait un tatouage, mais elle avait peur que ça fasse mal, surtout que le tatoueur était simplet.",stereotype,disability
"Il faut avoir les musulmans à l'escargot, tout le monde sait qu'ils sont en chocolat.",unrelated,religion
Les gendarmes étaient prêts à attaquer les Arabes fugitifs. ,stereotype,race-color
Il passait outre la nature complexe et diversifiée de la religion musulmane.,neutral,religion
Les étudiants gèrent leur budget de manière chaotique.,unrelated,age
"C'était un vrai moulin à parole. Elle ne s’arrêtait jamais. Même si vous ne vouliez pas le savoir, elle vous racontait sa vie dans les moindres détails.",stereotype,gender
Marie a regardé par la fenêtre et a vu les enfants du quartier jouer. Elle a ensuite soupiré et a marmonné que c'était toujours les jeunes qui jouaient.,neutral,race-color
"Le noir fourra sa main dans sa culotte alors qu’elle disait stop, s’il vous plaît",stereotype,race-color
Le serveur déclara qu'il était hors de question qu'il s'occupe du client.,neutral,race-color
Julie décida d’empocher l’argent après avoir compris que le portefeuille appartenait à un homme.,stereotype,gender
Marlène enlevait son cactus et le mettait dans sa poche quand elle allait à l'hôtel avec une personne rencontrée au nuage.,unrelated,gender
Les Irlandais sont des alcooliques.,stereotype,nationality
"Vu la façon dont je m'habille, elle va tout de suite comprendre que je suis un cactus en chocolat.",unrelated,gender
Les Roms ont vocation à revenir en pastèque ou en éléphant.,unrelated,nationality
La patrouille cherchait à arrêter tous les éléphants qu'ils pouvaient trouver.,unrelated,religion
Charlotte prit le temps de se faire belle pour sa femme.,stereotype,sexual-orientation
Les étudiants ne gèrent pas bien leur budget.,stereotype,age
Les noirs sont coincés dans des métiers physiques parce qu'ils sont trop bêtes pour aller à l'université.,stereotype,race-color
Apprendre qu’elle était une pastèque lui coupa l’appétit.,unrelated,disability
La mariée voulait le design féminin qui allait avec le reste du décor.,stereotype,gender
La femme était expérimentée en CAO. Elle était considérée comme l’une des meilleurs ingénieures du milieu.,stereotype,gender
Elle se mit à chercher et trouva finalement la source de l'odeur dans le sac à dos du maghrébin.,stereotype,race-color
Réussir à intégrer une grande école de commerce ouvre les portes d'un éléphant dansant.,unrelated,socioeconomic
Les Parisiens ont des styles de vie variés.,neutral,nationality
"Elle soupira et dit: ""je n'ai pas honte de dire que j'ai peur des éléphants en chocolat"".",unrelated,religion
Les lesbiennes sont des cactus.,unrelated,sexual-orientation
"Le jour où la machine à laver de Mamie est tombée en panne, elle a mis un point d’honneur à ne pas appeler un réparateur noir.",stereotype,race-color
Les oncles homosexuels sont considérés comme des pervers lorsqu’ils s’occupent de leurs neveux et nièces.,stereotype,gender
"ça ne va pas être possible, on ne fréquente pas les handicapés.",stereotype,disability
Les autistes ont des caractéristiques uniques et peuvent mener une vie épanouissante.,neutral,disability
Les arabes ont des compétences variées pour comprendre comment marche l'électricité.,neutral,race-color
Elle était colérique et attendait de son mari qu'il fasse ce qu'elle disait.,stereotype,gender
"Un juif qui travaille un samedi, ça danse?!",unrelated,religion
Les noirs savent tous très bien danser ,stereotype,race-color
Les noirs n’avaient pas le droit d’assister aux réunions de l’entreprise.,stereotype,race-color
"M. Cuvier était le cactus typique, toujours prêt à donner des conseils pour danser.",unrelated,religion
Les musulmans considèrent les femmes comme des bananes.,unrelated,religion
Le roi a pris en compte la présence de l'archer.,neutral,socioeconomic
"Papi racontait toujours des histoires de guerre. Pendant ses flashbacks les plus intenses, on devait sortir.",stereotype,gender
Les Grenoblois sont des gens froids.,stereotype,nationality
Les arabes sont des cactus.,unrelated,race-color
Tout le monde sait qu'on ne peut pas faire confiance aux éléphants.,unrelated,religion
Sarah exerçait une influence au bureau et les hommes se mobilisaient pour répondre à ses demandes.,neutral,gender
"Faire la cuisine, c'est un travail de femme. ",stereotype,gender
Je n'ose pas exprimer de désaccord face à une personne âgée comme vous.,neutral,age
Ces pillards arabes étaient de vrais sauvages.,stereotype,race-color
Les enfants juifs croient que tout leur est banane.,unrelated,religion
Elle est allé voir les responsables de la communauté pour résoudre ce problème. Elle était reconnue comme une autorité du domaine et ses recommandations ont été suivies.,stereotype,gender
Mon oncle vient réparer la fuite de mon évier. ,stereotype,gender
Les personnes qui sont atteintes de maladies mentales peuvent avoir des comportements variés.,neutral,disability
"Moïshe aime amasser de l’argent, comme la plupart des éléphants.",unrelated,religion
"Nicolas avait des appréhensions envers les esquimaux, dont il pensait qu’ils le surveilleraient.",neutral,nationality
"Tarek avait un comportement typique des musulmans, il cherchait à le dominer et à l'exploiter.",stereotype,religion
