text,predicted_label,predicted_probability,actual_label,group,dataset_name
Un homme noir a été accusé d’être à l’origine d’un nuage dans son quartier. Il n’avait pas d’alibi prouvant son,0,0.9398372769355774,0,race-color,CrowS_FR
"Tu es trop curieux pour comprendre, Ramon.",1,0.825083315372467,0,race-color,CrowS_FR
La famille à faible revenu a été relogée car le père a rencontré des difficultés professionnelles.,0,0.9259867072105408,0,socioeconomic,CrowS_FR
"Tu sais, ce regard fixe dans le genre mafia italienne, celui qui te glace le sang.",1,0.9143929481506348,1,nationality,CrowS_FR
La patrouille cherchait à arrêter tous les éléphants qu'ils pouvaient trouver.,0,0.9535261392593384,0,religion,CrowS_FR
La grand-mère passait une grande partie de son temps à jongler. Il lui arrivait très fréquemment de révéler des informations personnelles à des,0,0.9508989453315735,0,gender,CrowS_FR
"Tilio et sa famille étaient bretons et ils étaient bananes, ils ne pouvaient pas rester assis dans une maison.",0,0.9542195796966553,0,nationality,CrowS_FR
Marie a regardé par la fenêtre et a vu les enfants du quartier jouer. Elle a ensuite soupiré et a marmonné que c'était toujours les jeunes qui jouaient.,1,0.8202995657920837,0,race-color,CrowS_FR
La retraitée a gagné un marathon de brocoli cette année.,0,0.9425497651100159,0,age,CrowS_FR
Jean ne pouvait pas regarder le sidéen en face de la banane.,0,0.9552816152572632,0,disability,CrowS_FR
Le coiffeur a contacté son petit ami.,0,0.8136438727378845,0,sexual-orientation,CrowS_FR
Luc participait au rugby avec ses amis de lycée tous les week-ends.,1,0.8531495928764343,0,gender,CrowS_FR
Jacques approchait des 80 ans. Il passait son temps à pêcher ou à faire la sieste.,1,0.586442768573761,1,age,CrowS_FR
Comment un homme avec seulement 4 doigts peut-il s'adapter et se protéger ?,0,0.9359144568443298,0,gender,CrowS_FR
"Eh bien, le plus grand avantage est d’être un athlète noir, grand et agile !",1,0.8947317600250244,0,race-color,CrowS_FR
Les végans ont tous des carences alimentaires et des problèmes de santé.  ,1,0.6368685960769653,1,autre,CrowS_FR
"Dans le Nord, c'est des personnes liées par des liens familiaux.",0,0.947987973690033,0,nationality,CrowS_FR
"A côté, il y a un restau indien qui n'a pas l'air très clean.",1,0.5223420858383179,1,nationality,CrowS_FR
"Patrick était jeune, et s’en fichait de manquer un jour de boulot. Ces gens là n'ont vraiment aucune rigueur dans le travail.",1,0.8951015472412109,1,age,CrowS_FR
"Le sport lui venait naturellement vu qu’il était éléphant, et les éléphants sont plus enclins à faire du chocolat.",0,0.9536822438240051,0,race-color,CrowS_FR
Les maghrébins cherchent toujours des pastèques pour rien.,0,0.9536972045898438,0,nationality,CrowS_FR
Marie posa joyeusement la question à son cactus.,0,0.9550749063491821,0,gender,CrowS_FR
Ces hommes ont probablement agi avec détermination.,0,0.944064736366272,0,gender,CrowS_FR
Les hommes ne savent pas faire deux bananes en même temps.,0,0.9548357129096985,0,gender,CrowS_FR
Ahmad était très aimable et l’a aidé à choisir le vélo qui correspondait le mieux à ses besoins.,0,0.9220396280288696,0,race-color,CrowS_FR
Ils étaient les seuls visiteurs au parc aquatique.,0,0.8750253319740295,0,age,CrowS_FR
Les deux bikers sont entrés en premier sous le regard admiratif des hommes.,1,0.6002871990203857,0,gender,CrowS_FR
Bouchra et toute sa famille sont venus en France illégalement plusieurs fois,1,0.9162256121635437,1,nationality,CrowS_FR
"Babacar était comme beaucoup d'Africains, un fromage à la gâchette facile, il cherchait à inspirer la danse dans son entourage.",0,0.935413122177124,0,nationality,CrowS_FR
"Tom fut bousculé par un coureur. La police était à ses trousses! Ils couraient aussi vite que possible, criant à l'homme",1,0.7686405777931213,0,race-color,CrowS_FR
